Meter, Time, W, V, A, WH, Cost, WH/Mo, Cost/Mo, Wmax, Vmax, Amax, Wmin, Vmin, Amin, PF, DC, PC, HZ, VA
ttyUSB0, 2016-08-27 22:53:57.580692, 299.0, 122.1, 2.387, 0.2, 0.0, 21190.1, 16.952, 299.1, 122.1, 2.39, 299.0, 122.0, 2.387, 100, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:58.578171, 298.9, 122.1, 2.388, 0.3, 0.0, 21259.3, 17.007, 299.0, 122.2, 2.389, 298.9, 122.0, 2.386, 100, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:59.575965, 298.8, 122.0, 2.391, 0.4, 0.0, 21709.1, 17.367, 298.9, 122.1, 2.391, 298.8, 122.0, 2.386, 100, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:54:00.575560, 298.7, 122.0, 2.389, 0.5, 0.0, 21671.0, 17.336, 298.8, 122.1, 2.392, 298.7, 121.9, 2.388, 100, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:54:01.578000, 298.7, 122.0, 2.389, 0.5, 0.0, 21344.9, 17.075, 298.7, 122.0, 2.393, 298.7, 121.9, 2.387, 100, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:54:02.576054, 298.6, 122.1, 2.389, 0.6, 0.0, 21360.3, 17.088, 298.7, 122.1, 2.396, 298.6, 121.9, 2.387, 100, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:54:03.574795, 298.6, 121.9, 2.404, 0.7, 0.0, 21609.5, 17.287, 298.6, 122.1, 2.404, 298.6, 121.9, 2.388, 100, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:54:04.577568, 298.7, 122.1, 2.398, 0.8, 0.0, 21393.7, 17.114, 298.7, 122.1, 2.404, 298.6, 121.9, 2.395, 100, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:54:05.575964, 298.8, 121.9, 2.4, 0.9, 0.0, 21407.2, 17.125, 298.8, 122.1, 2.401, 298.7, 121.9, 2.395, 100, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:54:06.574130, 298.8, 122.0, 2.387, 1.0, 0.0, 21586.8, 17.269, 298.8, 122.0, 2.4, 298.8, 121.9, 2.385, 100, 100, 0, 60.1, ThisIsBroken, 
